"DHL Shipping","DHL Versenden"
"DHL Business Customer Shipping","DHL Geschäftskundenversand"
"DHL Shipping Not Available","DHL Versand nicht verfügbar"
"General Settings","Allgemeine Einstellungen"
"Module","Modul"
"Title","Titel"
"Enabled for Checkout","Aktiviert"
"Yes","Ja"
"No","Nein"
"Sandbox Mode","Sandbox-Modus"
"The Sandbox mode allows testing without entering a username, password, or DHL Customer Number.","Im Sandbox-Modus können die Funktionen getestet werden, ohne Benutzername, Passwort oder DHL Kundennummer einzugeben."
"Enable Logging","Protokollierung aktivieren"
"Please ensure that the global Magento logging is also activated. Data will be written to the existing Magento logs.","Bitte stellen Sie sicher, dass auch das Magento-Log aktiviert ist. Die Protokollierung wird in die vorhandenen Magento Logs geschrieben."
"Log Level","Protokollstufe"
"Beware: Log level <em>Debug</em> will result in large log files.","Achtung: <em>Debug</em>-Protokollierung erzeugt große Log-Dateien."
"Error","Error"
"Debug","Debug"
"Account Data","Stammdaten"
"Basic account data as required in production mode","Für den Produktiv-Modus erforderliche Angaben"
"User","Benutzername (User)"
"Username for the DHL Webservice (API). This can be created in the DHL Business Customer Portal.","Benutzer für den DHL Webservice (API). Dieser kann im DHL Geschäftskundenportal erstellt werden."
"Recommendation: Create a System User in the DHL Business Customer Portal.","Empfehlung: Erstellen Sie einen Systembenutzer im DHL Geschäftskundenportal. Siehe <a href='http://dhl.support.netresearch.de/support/solutions/articles/12000014055'>diese Anleitung</a>."
"Signature","Passwort (Signature)"
"Password for the DHL Webservice (API). This can be created in the DHL Business Customer Portal.","Passwort für den DHL Webservice (API). Dieses kann im DHL Geschäftskundenportal erstellt werden."
"EKP","DHL Kundennummer (EKP)"
"See the Knowledge Base tutorial on how to configure the EKP.","Siehe <a href='http://dhl.support.netresearch.de/support/solutions/articles/12000024658'>Anleitung</a> in der Wissensdatenbank zur Konfiguration der EKP."
"Your DHL Customer Number (Account Number / EKP) from the DHL Business Customer Portal.","Ihre DHL Kundennummer aus dem DHL Geschäftskundenportal."
"Participation Numbers","Teilnahmenummern"
"Your Participation Numbers for each available DHL product. These can be found in the DHL Business Customer Portal.","Ihre Teilnahmenummern für die verfügbaren DHL Produkte. Sie finden diese im DHL Geschäftskundenportal."
"Procedure","Verfahren"
"Participation","Teilnahme"
"See the Knowledge Base tutorial on how to configure the Participation Numbers.","Siehe <a href='http://dhl.support.netresearch.de/support/solutions/articles/12000024658'>Anleitung</a> in der Wissensdatenbank zur Konfiguration der Teilnahmenummern."
"The participation is 2 numerical digits from 00 to 99 or alphanumerical digits from AA to ZZ. It is allocated by DHL Sales.","Die Teilnahmenummer ist 2-stellig numerisch von 00 bis 99 oder alphanumerisch von AA bis ZZ. Sie wird vom DHL Vertrieb vergeben."
"Shipment Orders","Versandaufträge"
"Print Only If Codeable","Nur leitkodierbare Versandaufträge erteilen"
"If set to <em>Yes</em>, shipping order requests will only return a label if the DHL delivery address verification succeeds.","Ist diese Option auf <em>Ja</em> gestellt, so wird nur dann ein kostenpflichtiges Label erstellt, wenn die DHL-Adressprüfung erfolgreich ist."
"Send receiver phone number","Empfänger-Telefonnummer übertragen"
"If set to <em>Yes</em>, the buyer's phone number will be transmitted to DHL.","Ist diese Option auf <em>Ja</em> gestellt, wird die Telefonnumer des Käufers an DHL übermittelt."
"Address Validation","Adressprüfung"
"OK","OK"
"Cancel","Abbrechen"
"Weight Unit","Gewichtseinheit"
"Select the weight unit that is used in your Product Catalog.","Geben Sie die Einheit für das im Katalog verwendete Produktgewicht an."
"Grams","Gramm"
"Kilograms","Kilogramm"
"Shipping Methods for DHL Shipping","Versandarten für DHL Versenden"
"Cash On Delivery Payment Methods for DHL Shipping","Nachnahme-Zahlarten für DHL Versenden"
"Select shipping methods for rate calculation in checkout.","Wählen Sie Versandarten für die Versandkostenberechnung im Checkout."
"Selected shipping methods will be processed with DHL Shipping.","Die gewählten Versandarten werden Versandaufträge bei DHL Versenden erzeugen."
"These payment methods will be treated as Cash On Delivery (COD) methods during shipping order requests.","Diese Zahlarten werden bei der Übermittlung von Versandaufträgen als Nachnahme-Zahlart behandelt."
"COD Charge","Nachnahmegebühr"
"Cash On Delivery","Nachnahme"
"Set the COD charge (€) to be added to the total order amount during shipping order requests.","Geben Sie die Nachnahmegebühr in Euro an, die bei der Übermittlung von Versandaufträgen zum Gesamtbetrag hinzuaddiert werden soll."
"Additional Services In Checkout","DHL Zusatzleistungen im Checkout"
"Preferred Day","Wunschtag"
"Enable preferred day","Wunschtag aktivieren"
": Delivery at your preferred day",": Lieferung zum gewünschten Tag"
"Allow customers to select a preferred day of delivery.","Lassen Sie Kunden im Checkout einen bevorzugten Zustelltag bestimmen."
"Cut off time","Annahmeschluss"
"Orders placed after the cut-off time will not be shipped the same day.","Bestellung, welche nach Annahmeschluss eingehen, werden nicht mehr am selben Tag verschickt. Der früheste Wunschtag verschiebt sich somit um einen Tag."
"Preferred Time","Wunschzeit"
"Enable preferred time","Wunschzeit aktivieren"
"Allow customers to select a preferred time of delivery.","Lassen Sie Kunden im Checkout eine bevorzugte Zustellzeit bestimmen."
"Preferred Location","Wunschort"
"Enable preferred location","Wunschort aktivieren"
": Delivery to your preferred drop-off location",": Lieferung an den gewünschten Ablageort"
"Allow customers to declare a preferred parcel location during checkout.","Lassen Sie Kunden im Checkout einen bevorzugten Ablageort bestimmen."
"Preferred Neighbour","Wunschnachbar"
"Enable Preferred neighbour","Wunschnachbar aktivieren"
": Delivery to a neighbour of your choice",": Lieferung an den Nachbarn Ihrer Wahl"
"Allow customers to declare a preferred neighbour during checkout.","Lassen Sie Kunden im Checkout einen bevorzugten Nachbar für die Zustellung bestimmen."
"Parcel Announcement","Paketankündigung"
"Enable DHL Parcel Notification","Paketankündigung aktivieren"
"Allow customers to request parcel notification updates via e-mail by DHL during checkout.","Ermöglichen Sie es Kunden während des Checkouts die Paketankündigung per E-Mail von DHL anzufordern."
"Visual Check Of Age","Alterssichtprüfung"
"Enable Visual Check of Age","Alterssichtprüfung aktivieren"
"Display the age check service while creating shipments.","Stellen Sie den Service Alterssichtprüfung beim Erstellen von Lieferscheinen zur Auswahl."
"Return Shipment","Retourenbeileger"
"Enable Return Shipment","Retourenbeileger aktivieren"
"Display the return shipment service while creating shipments.","Stellen Sie den Service Retourenbeileger beim Erstellen von Lieferscheinen zur Auswahl."
"Additional Insurance","Transportversicherung"
"Enable Additional Insurance","Höhere Transportversicherung aktivieren"
"Display the additional insurance service while creating shipments.","Stellen Sie die Transportversicherungen A (bis 2.500 Euro) und B (bis 25.000 Euro) beim Erstellen von Lieferscheinen zur Auswahl."
"Bulky Goods","Sperrgut"
"Enable Bulky Goods","Sperrgut aktivieren"
"Display the bulky goods service while creating shipments.","Stellen Sie den Service Sperrgut beim Erstellen von Lieferscheinen zur Auswahl."
"Contact Data","Kontaktinformationen"
"Name of Sender","Absender"
"Name of Company","Firma"
"Name of Company (2)","Firma (2)"
"Street Name","Straße"
"House number","Hausnummer"
"Address Addition","Adresszusatz"
"Dispatching Information","Angaben zur Abfertigung"
"Zip Code","Postleitzahl"
"City","Stadt"
"Country","Land"
"Phone Number","Telefonnummer"
"Email Address","E-Mail-Adresse"
"First Name and Last Name of Contact Person","Vor- und Nachname der Kontaktperson"
"Bank Data","Bankverbindung"
"Bank data as required for cash on delivery payments","Für Nachnahme-Zahlarten erforderliche Bankverbindung"
"Account Owner","Kontoinhaber"
"Bank Name","Name der Bank"
"IBAN","IBAN"
"BIC","BIC"
"Reason for Payment","Verwendungszweck"
"Reason for Payment (2)","Verwendungszweck (2)"
"Account Reference to Customer Profile","Bankverbindungsreferenz"
"Placeholders: %orderId%, %customerId%","Platzhalter: %orderId%, %customerId%"
"Return Shipment","Retourenbeileger"
"Use Shipper as Receiver","Absenderdaten als Retourenempfänger nutzen"
"Name of Receiver","Empfänger"
"DHL Additional Services","DHL Zusatzleistungen"
"E.g. garage, terrace","z.B. Garage, Terrasse"
"First name, last name of neighbour","Vorname, Nachname des Nachbarn"
"name, street and house number","Name, Straße und Hausnr."
"Cannot do partial shipment with COD or Additional Insurance.","Für Teillieferungen ist weder Nachnahme noch Transportversicherung verfügbar."
"Customs Declaration","Zollinhaltserklärung"
"Terms of Trade","Handelsklauseln"
"Additional Fee","Zusatzentgelte"
"Place of Commital","Einlieferungsstelle"
"Permit Number","Genehmigungsnummer"
"Attestation Number","Bescheinigungsnummer"
"Electronic Export Notification","Sendung mit Ausfuhranmeldung"
"Customs Description","Beschreibung"
"Country of Origin","Ursprungsland"
"Tariff Number","Zolltarifnummer"
"Automatic Shipment Creation","Automatische Sendungserstellung"
"Enabled","Aktiviert"
"Order Status","Bestell-Status"
"Automatically create shipments for orders in the selected status.","Lieferscheine für Bestellungen in den angegebenen Status automatisch erstellen."
"Book the service Visual Check Of Age with automated shipment orders.","Buchen Sie die Zusatzleistung Alterssichtprüfung mit automatisiert erstellten Versandaufträgen."
"Book the service Return Shipment with automated shipment orders.","Buchen Sie die Zusatzleistung Retourenbeileger mit automatisiert erstellten Versandaufträgen."
"Book the service Additional Insurance with automated shipment orders.","Buchen Sie die Zusatzleistung Transportversicherung mit automatisiert erstellten Versandaufträgen."
"Book the service Bulky Goods with automated shipment orders.","Buchen Sie die Zusatzleistung Sperrgut mit automatisiert erstellten Versandaufträgen."
"Post Number","Postnummer"
"Packstation Number","Nummer der Packstation"
"Post Office Number","Nummer der Postfiliale"
"Parcelstation Number","Nummer des Paketshops"
"Thanks to the flexible recipient services of DHL Preferred Delivery, you decide when and where you want to receive your parcels.","Mit den Services von DHL Wunschpaket entscheiden Sie, wann und wo Sie Ihre Pakete empfangen."
"Your DHL Wunschpaket","Ihr DHL Wunschpaket"
"Your shipping services","Ihr DHL Wunschpaket"
"DHL Preferred Delivery. Delivered just the way you want.","DHL Wunschpaket. Geliefert wie gewüscht."
"You decide when and where you want to receive your parcels with the recipient services of DHL.","Mit den Services von DHL Wunschpaket entscheiden Sie, wann und wo Sie Ihre Pakete empfangen."
"Please choose your preferred delivery options.","Wählen Sie Ihre bevorzugten Lieferoptionen aus."
"Determine a person in your immediate neighborhood whom we can hand out your parcel. This person should live in the same building, directly opposite or next door.","Bestimmen Sie eine Person in Ihrer unmittelbaren Nachbarschaft, bei der wir Ihr Paket abgeben dürfen. Diese sollte im gleichen Haus, direkt gegenüber oder nebenan wohnen."
"Choose a weather-protected and non-visible place on your property where we can deposit the parcel in your absence.","Bestimmen Sie einen wettergeschützten und nicht einsehbaren Platz auf Ihrem Grundstück, an dem wir das Paket während Ihrer Abwesenheit hinterlegen dürfen."
"Choose one of the displayed days as your preferred day for your parcel delivery. Other days are not possible due to delivery processes.","Sie haben die Möglichkeit einen der angezeigten Tage als Wunschtag für die Lieferung Ihrer Waren auszuwählen. Andere Tage sind aufgrund der Lieferprozesse aktuell nicht möglich."
"Indicate a preferred time, which suits you best for your parcel delivery by choosing one of the displayed time windows.","Damit Sie besser planen können, haben Sie die Möglichkeit eine Wunschzeit für die Lieferung auszuwählen. Sie können eine der dargestellten Zeiten für die Lieferung auswählen."
"Mon","Mo"
"Tue","Di"
"Wed","Mi"
"Thu","Do"
"Fri","Fr"
"Sat","Sa"
"Sun","So"
"Or choose a DHL Packstation or a branch as an alternative delivery address.","Oder wählen Sie die Lieferung an eine Packstation oder eine Filiale."
"You cannot use preferred neighbor with this service.","Sie können Wunschnachbar nicht zusammen mit diesem Service nutzen."
"You cannot use preferred location with this service.","Sie können Wunschort nicht zusammen mit diesem Service nutzen."
"* With the preferred time service, DHL offers a nationwide evening delivery between 6-8 pm and 7-9 pm. Preferred time during the day is currently only available in major urban centers in four time windows between 10 am – 6 pm. Via the DHL shipping logistics system, you will receive information about the time windows, that will be available to your customers.","* Mit dem Service Wunschzeit ermöglicht DHL eine bundesweite Abendzustellung, von 18 bis 20 Uhr und 19 bis 21 Uhr. Die Wunschzeit am Tag ist derzeit nur in Ballungsgebieten in vier Zeitfenstern zwischen 10 und 18 Uhr verfügbar. Über die Versenden-Schnittstelle erhalten Sie eine direkte Rückmeldung von DHL, ob die gewählte Wunschzeit für Ihren Kunden zur Verfügung steht."
"10 - 12*","10 - 12*"
"12 - 14*","12 - 14*"
"14 - 16*","14 - 16*"
"16 - 18*","16 - 18*"
"18 - 20","18 - 20"
"19 - 21","19 - 21"
"Additional charge for your preferred day","Ihr Aufpreis für Wunschtag"
"Additional charge for your preferred time","Ihr Aufpreis für Wunschzeit"
"Preferred day handling fee text","Wunschtag Serviceaufschlag Hinweistext"
"Preferred time handling fee text","Wunschzeit Serviceaufschlag Hinweistext"
"Insert gross value for surcharge. Insert 0 to offer service for free.","Geben Sie den Aufschlag brutto ein. Geben Sie 0 ein, um den Service kostenfrei anzubieten."
"Use <em>$1</em> as placeholder to insert value and currency in string.","Nutzen Sie <em>$1</em> als Platzhalter, um den Wert und Währung in der Zeichenkette zu platzieren."
"Use . as decimal separator.","Nutzen Sie . als Dezimaltrennzeichen."
"Notify Customer","Kundenbenachrichtigung"
"Create Shipping Labels","Versandetiketten abrufen"
"Failed ","Fehlgeschlagen"
"Pending","Ausstehend"
"Processed","Label abgerufen"
"Not Available","Status nicht verfügbar"
"Status_Failed","Fehlgeschlagen"
"Your input is invalid.","Ihre Angabe ist nicht korrekt."
"Additional charge for combined preferred day and time","Ihr Aufpreis für kombinierter Wunschtag und -zeit"
"Combined Preferred day and time handling fee text","Kombinierter Wunschtag und -zeit Serviceaufschlag Hinweistext"
"Additional charge for combined preferred day and time","Ihr Aufpreis für kombinierten Wunschtag mit Wunschzeit"
"Combined Preferred day and time handling fee text","Kombinierter Wunschtag mit -zeit Serviceaufschlag Hinweistext"
"Insert gross value as surcharge for the combination of preferred day and time. Insert 0 to offer service for free.","Geben Sie hier einen Aufpreis als Bruttowert für die Kombination aus den Services Wunschzeit und -tag an. Geben Sie 0 ein, um den Service kostenfrei anzubieten."
"Cut-off time is the latest possible order time up to which the minimum preferred day (day of order + 2 working days) can be guaranteed. As soon as the time is exceeded, the earliest preferred day displayed in the frontend will be shifted to one day later (day of order + 3 working days). where appropriate: Reference the manual where the cut-off-time is explained in detail especially with reference to the preferred day.","Spätester Bestellzeitpunkt bis zu dem eine Sendung noch am selben Tag versandfertig gemacht und an DHL übergeben werden kann = frühester Wunschtag (Bestelltag+2 Werktage) eingehalten werden kann. Sobald diese Zeit überschritten ist, wird der im Front-End angezeigte frühstmögliche Wunschtag um einen Tag nach hinten verschoben (Bestelltag+3 Werktage): sehen Sie in die Dokumentation, in der die Cut-off-Zeit ausführlich erläutert wird, insbesondere in Bezug auf den bevorzugten Tag"
"* You cannot choose a <strong>preferred neighbor</strong> in combination with a <strong>preferred location</strong>.","* Die Services <strong>Wunschort und Wunschnachbar</strong> können nicht in Kombination gebucht werden."
"Not available with preferred neighbor","Nicht kombinierbar mit Wunschnachbar"
"Not available with preferred location","Nicht kombinierbar mit Wunschort"
"Participation = the last two characters of the accounting number for the referring product","Teilnahme = letzten beiden Zeichen der Abrechnungsnummer für das jeweilige Produkt"
"Days excluded from drop-off","Tage ohne Paketübergabe"
"On the working days checked, there is no transfer of parcels to DHL (in addition to sundays and public holidays). This information influences the first displayed preferred day in the frontend.","An den angekreuzten Werktagen findet (zusätzlich zu Sonn- und Feiertagen) keine Übergabe von Paketen an DHL statt. Diese Angabe bestimmt den ersten angezeigten Wunschtag im Frontend."
"no day","keiner"
"no time","keine"
"DHL Preferred Services Tracking","DHL Wunschpaket Tracking"
"<strong>In case you like to offer Preferred Delivery options in your shop frontend, please note:</strong><br> When enabled, this plugin displays a tracking pixel to collect statistical data about Preferred Delivery options usage once every 30 days. It reports your checkout URL and the number of plugin calls. No personal data is created or collected.","<strong>Wenn Sie in Ihrem Shop-Frontend bevorzugte Lieferoptionen anbieten möchten, beachten Sie bitte den folgenden Hinweis:</strong><br>Das Plugin zeigt einmal in 30 Tagen ein Tracking-Pixel zu Reporting-Zwecken der Wunschpaket Services. Seine Ausgabe ist die URL, in die die bevorzugten Services per Plugin integriert werden, sowie die Anzahl der Plugin-Aufrufe. Es werden keine personenbezogenen Daten erstellt oder gesammelt.</strong>"
"(The cost of %s for %s already included in the delivery costs.)","(Die Kosten von %s für %s sind in den Lieferkosten bereits inbegriffen.)"
"your preferred delivery option","Ihren Wunschpaket-Service"
"your preferred delivery options","Ihre Wunschpaket-Services"
"Enable Checkout Tracking","Aktiviere Checkout-Tracking"
"Automatic Parcel Announcement","Automatische Paketankündigung"
"If you want to enable DHL's Automatic parcel Announcement, please select <em>Enable</em> or <em>Enable on customer choice</em>. Last option gives the customer the choice to request the parcel announcement service by checkbox in the checkout.","Wenn Sie die automatische Paketankündigung von DHL aktivieren möchten, wählen Sie bitte <em>Aktivieren</em> oder <em>Aktivieren auf Kundenwunsch</em>. Letzte Option überlässt dem Kunden die Wahl die Paketankündigung per Checkbox im Checkout anzufordern."
"When service is applied, the buyer's email address will be transmitted to DHL.","Wenn der Service angewendet wird, wird die E-Mail-Adresse des Käufers an DHL übermittelt."
"Enable on customers choice","Aktivieren auf Kundenwunsch"
"General Shipping Settings","Allgemeine Versand Einstellungen"
"Cash on Delivery Settings","Nachnahme Einstellungen"
"Preferred day: Delivery on your preferred day","Wunschtag: Lieferung zum gewüschten Tag"
"Choose one of the displayed days as your preferred day for your parcel delivery. Other days are not possible due to delivery processes","Sie haben die Möglichkeit einen der angezeigten Tage als Wunschtag für die Lieferung Ihrer Waren auszuwählen. Andere Tage sind aufgrund der Lieferprozesse aktuell nicht möglich."
"Preferred Time: Delivery during your preferred time slot","Wunschzeit: Lieferung im gewüschten Zeitfenster"
"Indicate a preferred time for your parcel delivery by choosing one of the displayed time windows.","Damit Sie besser planen können, haben Sie die Möglichkeit eine Wunschzeit für die Lieferung auszuwählen. Sie können eine der dargestellten Zeiten für die Lieferung auswählen."
"Preferred location: Delivery to your preferred drop-off location","Wunschort: Lieferung an den gewüschten Ablageort"
"Choose a weather-protected and non-visible place on your property where we can deposit the parcel in your absence.","Bestimmen Sie einen wettergeschützten und nicht einsehbaren Platz auf Ihrem Grundstück, an dem wir das Paket während Ihrer Abwesenheit hinterlegen dürfen."
"Parcel Announcement","Paketankündigung"
"Preferred neighbour: Delivery to a neighbour of your choice","Wunschnachbar: Lieferung an den Nachbar Ihrer Wahl"
"Determine a person in your immediate neighborhood to whom we can hand out your parcel in your absence. This person should live in the same building, directly opposite, or next door.","Bestimmen Sie eine Person in Ihrer unmittelbaren Nachbarschaft, bei der wir Ihr Paket abgeben dürfen. Diese sollte im gleichen Haus, direkt gegenüber oder nebenan wohnen."
"Street, number, postal code, city","Strasse, Hausnummer, PLZ, Ort"
"API Connection","API Verbindung"
"Select an API connection to configure. This setting does <strong>not</strong> select an API for use. The API used depends on your shipping origin country.","Wählen Sie die API zum konfigurieren aus. Diese Einstellung beeinflusst nicht die benutzte API. Sie hängt von Ihrem Versandursprung ab."
"If you are shipping from Germany or Austria, configure Business Customer Shipping. If you are shipping from other countries, configure eCommerce Global API.","Versenden Sie aus Deutschland oder Österreich, konfigurien Sie DHL Geschäftskunden Versand. Versenden Sie aus anderen Ländern, konfigurieren Sie eCommerce Global API."
"Please note that you need to mention the data transmission in your privacy policy for GDPR compliance.","Bitte beachten Sie, dass Sie die Datenübermittlung in Ihrer Datenschutzerklärung zur Einhaltung der DSGVO-Richtlinien erwähnen müssen."
"Configure the use of Cash on Delivery payments.","Konfiguration der Nachnahme"
"Selected payment methods will be treated as CoD methods during shipment order creation. When using DHL eCommerce Global Label API, cash on delivery payment methods are automatically hidden.","Die gewählten Bezahlarten werden während der Versanderstellung als Nachnahme behandelt. Bei Nutzung der DHL eCommerce Global Label API werden Nachnahme-Zahlarten automatisch ausgeblendet."
"Default shipping label creation settings","Paketaufkleber Erstellung Standardeinstellungen"
"Used for prefilling fields in manual label creation and for bulk actions.","Befüllt die Felder in der manuellen Paketaufklebererstellung und Massenverarbeitung."
"Default Products","Standard Produkte"
"Default Terms of Trade","Standard Handelsklauseln"
"Default Place of Commital","Standard Einlieferungsstelle"
"Default Additional Fee","Standard Zusatzentgelte"
"Default Export Content Type","Standard Exportinhalt-Typ"
"Use Print Only If Codeable Service","Nur leitkodierbare Versandaufträge erteilen"
"Use Parcel Announcement Service","Paketankündigung aktivieren"
"Use Visual Check of Age Service","Alterssichtprüfung aktivieren"
"Use Return Shipment Service","Retourenbeileger aktivieren"
"Use Additional Insurance Service","Zusätzliche Tranportversicherung aktivieren"
"Use Bulky Goods Service","Sperrgut aktivieren"
"Selected products will be pre-selected for automatic shipping label creation. You can still select another product when creating shipping labels manually.","Die ausgewählten Produkte werden für die automatische Erstellung von Paketaufklebern vorselektiert. Sie können beim manuellen Erstellen von Paketaufklebern weiterhin ein anderes Produkt auswählen."
"If set to <em>Yes</em>, shipment orders will only return a label if the DHL delivery address verification succeeds.","Wählen Sie <em>Ja</em>, werden nur Paketaufkleber im Versandauftrag erstellt, wenn die DHL Versandadressen-Überprüfung erfolgreich war."
"If set to <em>Yes</em>, DHL will send shipment status updates to the customer.","Wählen Sie <em>Ja</em>, sendet DHL Versandstatus-Aktualisierungen an den Kunden."
"If enabled, the visual age check service will be booked during shipment orders.","Wählen Sie <em>Ja</em>, buchen Sie die Zusatzleistung Alterssichtprüfung mit automatisiert erstellten Versandaufträgen."
"If set to <em>Yes</em>, a return shipment label will be requested from the webservice.","Wählen Sie <em>Ja</em>, wird ein Retourenbeileger vom Webservice angefragt."
"If set to <em>Yes</em>, shipments will be insured with higher than standard amount.","Wählen Sie <em>Ja</em>, wird der Versand höher versichert."
"If set to <em>Yes</em>, shipments will be marked as bulk freight.","Wählen Sie <em>Ja</em>, wird der Versand als Sperrgut markiert."
"Shipping label creation settings for cron action","Einstellungen für automatische Paketaufklebererstellung"
"Automatic shipment creation will periodically collect all orders ready for shipping and create shipments with DHL. Orders are processed every 15 minutes.","Die automatische Sendungserstellung sammelt periodisch alle versandfertigen Bestellungen und erstellt Sendungen mit DHL. Die Bestellungen werden alle 15 Minuten verarbeitet."
"Create shipments and retrieve labels via cron job.","Erstellen Sie Lieferscheine und beauftragen Sie Paketaufkleber automatisiert per Cron Job."
"Create shipments for orders with the given status.","Lieferscheine für Bestellungen mit dem angegebenen Status erstellen."
"Send Shipment Confirmation Email","Versandbestätigung per E-Mail senden"
"If set to <em>Yes</em>, a shipment confirmation email will be sent to the customer when shipment and label were created.","Wählen Sie <em>Ja</em>, wird dem Kunden bei der Erstellung von Versand und Etikett eine Versandbestätigung per E-Mail zugesandt."
"Invalid service combination.","Ungültige Servicekombination"
"Invalid service combination. Services %1 must be booked together.","Ungültige Servicekombination. Die Services %1 müssen zusammen gebucht werden."
"You must not refer to a packing station, postal office, or similar.","Sie dürfen nicht eine Packstation, eine Poststelle oder ähnliches angeben."
"Your input must not include one of the following: ","Ihre Eingabe darf Folgendes nicht enthalten: "
"DHL Custom Package Delivery","DHL Wunschpaket"
"Please select","Bitte wählen"
"Business Customer Shipping Account Data","Geschäftskunden-Versand Stammdaten"
"DHL contract customers receive the access data to the DHL Business Customer Portal via DHL Paket sales.","DHL-Vertragskunden erhalten die Zugangsdaten zum DHL Geschäftskundenportal über den Vertrieb von DHL Paket."
"Ship to ","Versand nach "
"DHL Paket Business Customer Shipping","DHL Paket Geschäftskundenversand"
"Additional Shipping Services","Zusätzliche Versandservices"
"The following settings apply only to bulk shipments and shipments created via cron.","Die folgenden Einstellungen gelten nur für die Massenverarbeitung und Sendungen, die via Cron erstellt wurden."
"Select Procedure","Verfahren auswählen"
"Enable preferred neighbor","Wunschnachbar aktivieren"
"This is a hash value which will be provided by DHL.","Dies ist ein Hash-Wert, der von DHL bereitgestellt wird.",
"Please enter the number you received from DHL.","Bitte geben Sie die Nummer ein, die Sie von DHL erhalten haben."
"Please enter the customer prefix you received from DHL.","Bitte geben Sie das Kunden-Präfix ein, das Sie von DHL erhalten haben."
"Primary DHL eCommerce Distribution center assigned to your products/services. This will be provided by DHL.","Primäres eCommerce-Vertriebszentrum von DHL, das Ihren Produkten/Dienstleistungen zugeordnet ist. Dies wird von DHL zur Verfügung gestellt."
"Insert 0 to offer service for free. Use ""."" as decimal separator.","Geben Sie 0 ein, um den Service kostenlos anzubieten. Benutzen Sie ""."" als Dezimaltrennzeichen."
"Insert gross value as surcharge for the combination of preferred day and time. Insert 0 to offer service for free. Use ""."" as decimal separator.","Geben Sie den Bruttowert als Zuschlag für die Kombination von Wunschtag und -zeit ein. Geben Sie 0 ein, um den Service kostenlos anzubieten. Benutzen Sie ""."" als Dezimaltrennzeichen."
"Service Charge for preferred day","Aufpreis für Wunschtag"
"Insert 0 to offer service for free. Use ""."" as decimal separator.","Geben Sie 0 ein, um den Service kostenfrei anzubieten. Nutzen Sie ""."" als Dezimaltrennzeichen."
"Use . as decimal separator.","Nutzen Sie . als Dezimaltrennzeichen."
"Preferred day handling fee text","Wunschtag Serviceaufschlag Hinweistext"
"Use <em>$1</em> as placeholder to insert value and currency in string.","Nutzen Sie  <em>$1</em>  als Platzhalter, um den Wert und Währung in der Zeichenkette zu platzieren."
"Service Charge for preferred time","Aufpreis für Wunschzeit"
"Preferred time handling fee text","Wunschzeit Serviceaufschlag Hinweistext"
"Service charge for preferred day and time combined","Aufpreis für kombinierten Wunschtag und -zeit"
"Insert gross value as surcharge for the combination of preferred day and time. Insert 0 to offer service for free. Use ""."" as decimal separator.","Gesamtaufpreis für die Kombination von Wunschtag und -zeit. Geben Sie 0 ein, um den Service kostenfrei anzubieten. Nutzen Sie ""."" als Dezimaltrennzeichen."
"Combined service charge text.","Kombinierter Serviceaufschlag Hinweistext"
"DHL Custom Package Delivery Service Fee","DHL Wunschpaket Aufschlag"
"e.g. This service will incur additional shipping costs of $1 including VAT.","z.B. Für diesen Service fallen zusätzliche Versandkosten in Höhe von $1 inkl. MwSt. an."
"e.g. For a combined booking of preferred day and preferred time, the shipping costs are a total of $1 including VAT.","z.B. Bei einer Kombinationsbuchung von Wunschtag und -zeit fällt zu den Versandkosten ein Gesamtaufpreis von $1 inkl. MwSt. an."
"Your e-mail address will be sent to DHL upon enabling, after which DHL will trigger a package announcement for your shipment. The e-mail address will exclusively be used for the announcement of this shipment.","Ihre E-Mail-Adresse wird bei Aktivierung an DHL übermittelt, worauf DHL eine Paketankündigung zu Ihrer Sendung auslöst. Die E-Mail-Adresse wird ausschließlich für die Ankündigung zu dieser Sendung verwendet."
"By enabling the parcel notification, DHL informs you by e-mail about the planned delivery of your shipment.","Mit der Aktivierung der Paketankündigung informiert Sie DHL per E-Mail über die geplante Lieferung Ihrer Sendung."
"Could not save the service selection: %1","Konnte Serviceauswahl nicht speichern: %1"
